Code;VAGUE;Q1;Q2;STATUTTV;SECTEUR;TAILLE;Q4_3A6;Q4_7A12;Q4_13A17;Q4_SUP18;Q5;EVACTENT;Q9;Q10;Q12;Q13_1;Q13_2;Q13_4;Q13_5;Q13_6;Q13_7;Q14_1;Q14_2;Q14_3;Q14_4;Q15_1;Q15_3;Q15_4;Q15_5;Q15_6;Q15_7;Q15_8;Q15_9;Q15_10;Q15_11;Q15_12;Q15_13;Q15_14;Q15_17;Q15_18;Q15_19;EVRYTHM;Q16_3;Q16_4;Q17_1;Q17_3;Q17_4;Q19_1;Q19_2;Q19_3;Q19_4;Q19_5;Q19_6;Q19_7;Q19_8;Q19_9;Q19_10;Q19_11;Q19_12;Q19_13;Q19_14;Q19_15;Q19_16;Q19_17;Q22_1;Q22_2;Q22_3;Q22_4;Q22_5;Q23_1;Q25;Q31_1;Q31_2;Q31_3;Q31_4;Q31_5;Q31_6;Q34_1;Q34_2;Q34_3;Q34_4;Q37;Q38_1;Q38_2;Q40M3JR;Q403A5JR;Q401SEMR;Q40SU1MR;Q40SU3M;Q42;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q57;Q58_1;Q58_2;Q60;Q61;Q62;Q63_1;Q63_2;outcome
Q_En;YEAR MMS;Gender;Age;Work type;sector;size of business;No of 3 to 6 years old children;No of 7 to 12 years old children;No of 13 to 17 years old children;No of 18 years and over children;dependents;Would you say that over the last 12 months, your company's activity has:;Full Time/Part Time;shift work with alternating hours;Place of work;standing or in an awkward posture;carry or move heavy loads;perform repetitive gestures;work on screen;cold/ hot env;work in noisy env;breathe toxic products or dust;handle toxic or dangerous products;risk of serious fall;machinery with exposure to injury;learn new things;work quickly or very intensely;long periods of concentration;physically tiring;mentally tiring;satisfaction with work;make decisions;difficulty managing priorities;recognized by my hierarchy;develop professional skills;good understanding where I work;well-suited workstation;seek to improve the way I work;well-being of its employees;Security is a priority;count on supervisor;Would you say that over the last 12 months, your pace of work has:;recommend the company;Q16- And for each of these sentences?-I am proud to work in my company;decreased alertness;hurtful or aggressive remarks;insulted or attacked by the public or customers;Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization;clarity of your role in the company;access to professional training;relationship with your direct superior;atmosphere in your team;tools or workstation;prospects for development;relationships between services;management;communication and understanding of business strategy;recognition at work;mastery of position;moments of conviviality;balance between private and professional life;services provided by the company ;social protection;working hours;Loss of job (yourself or your spouse);imposed change of position or profession;estructuring or reorganization;layoffs in your company;technical unemployment;difficulty reconciling your work with your other personal commitments;transportation;professional situation;financial situation ;housing conditions;emotional life;health;future of your child(ren);well surrounded;loved ones causing me to worry;personal concerns;can talk to loved ones;state of health in general;long-term illness;Disabilities;MONS ARRESTS FOR 3 DAYS;STOPS OF 3 TO 5 DAYS;STOPS OF MORE THAN 1 WEEK;ARRESTS OF MORE THAN 1 MONTH;(V5 V9) Sick leave of more than 3 months;work accident;Headaches;neck, shoulder, arm pain;back pain;leg, foot, knee pain;other parts of the body pain;eye pain;midday meal;drinks (Every day);drinks (At least once a week);smoker;cannabis, hashish, marijuana;sleeping pills, anxiolytics or anti-depressants;Sleep disorders;lack of tone;outcome
cat;;CU;CO;CU;CU;CO;NU;NU;NU;NU;CU;CO;CU;CU;CU;CO;CO;CO;CO;CO;CO;CU;CU;CU;CU;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CU;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CO;CU;CU;CU;CU;CU;CU;CU;CU;CO;CO;CO;CO;CO;CO;CU;CU;CU;CU;CO;CO;CO;CO;CU
opt;0;2;6;4;9;6;0;0;0;0;3;4;2;2;10;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;5;2;2;2;2;2;2;2;2;4;4;4;4;4;4;5;3;3;2;5;5;4;4;4
1;;Male;18 - 30;Managers;Industry;0 - 9;;;;;Yes, who lives with me;Accelerated;Full time;Yes;In an office alone or in pairs;Most of the time;Most of the time;Most of the time;Most of the time;Most of the time;Most of the time;Yes;Yes;Yes;Yes;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Completely;Accelerated;Completely;Completely;Very Often;Very Often;Very Often;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;Satisfying;I understand they are necessary;I understand they are necessary;I understand they are necessary;I understand they are necessary;I understand they are necessary;Yes quite;Less than 1 hour per day;Very confident;Very confident;Very confident;Very confident;Very confident;Very confident;Completely;Completely;Completely;Completely;Very good;Yes;Yes;None;None;None;None;None;Yes;Never;Never;Never;Never;Never;Never;In the canteen or company restaurant;Sodas;Sodas;Yes;Never;Never;Never;Never;No Sick Leave
2;;Female;30 - 39;AM Technicians;Construction;Oct-49;;;;;Yes, who lives elsewhere;Slow down;Part time;No;In a shared office (3 to 5 people);Occasionally;Occasionally;Occasionally;Occasionally;Occasionally;Occasionally;No;No;No;No;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Rather;Slow motion;Rather;Rather;Often;Often;Often;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;Unsatisfactory;I make sure to adapt;I make sure to adapt;I make sure to adapt;I make sure to adapt;I make sure to adapt;Yes, rather;Between 1 hour and 2 hours per day;Confident;Confident;Confident;Confident;Confident;Confident;Rather;Rather;Rather;Rather;Good;No;No;At least one;At least one;At least one;At least one;At least one;No;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;Sometimes;By bringing your meal from home;Alcoholic beverages;Alcoholic beverages;No;Less than once a month;Less than once a month;sometimes;sometimes;Very Short Sick Leave
3;;;40 - 44;Employees;Wholesale trader;50 - 249;;;;;No;Stabilized;;;In an open space, a tray;Rarely;Rarely;Rarely;Rarely;Rarely;Rarely;;;;;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Rather not;Stabilized;Rather not;Rather not;Sometimes;Sometimes;Sometimes;;;;;;;;;;;;;;;;;;I adhere to the directions chosen by my company;I adhere to the directions chosen by my company;I adhere to the directions chosen by my company;I adhere to the directions chosen by my company;I adhere to the directions chosen by my company;TOTAL YES;From 2 hours to 3 hours per day;Not very confident;Not very confident;Not very confident;Not very confident;Not very confident;Not very confident;Rather not;Rather not;Rather not;Rather not;AVERAGE;;;;;;;;;Often;Often;Often;Often;Often;Often;While eating a sandwich;Energy drinks (like Red Bull or Monster);Energy drinks (like Red Bull or Monster);;Once a month;Once a month;often;often;Short Sick Leave
4;;;45 - 49;Workers;Retail business;250 - 999;;;;;;Do not know;;;In a workshop, a technical room;Never;Never;Never;Never;Never;Never;;;;;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Not at all;Do not know;Not at all;Not at all;Never;Never;Never;;;;;;;;;;;;;;;;;;I am involved upstream, we integrate my point of view;I am involved upstream, we integrate my point of view;I am involved upstream, we integrate my point of view;I am involved upstream, we integrate my point of view;I am involved upstream, we integrate my point of view;No, rather not;More than 3 hours per day;Not confident at all;Not confident at all;Not confident at all;Not confident at all;Not confident at all;Not confident at all;Not at all;Not at all;Not at all;Not at all;Bad;;;;;;;;;Permanently;Permanently;Permanently;Permanently;Permanently;Permanently;When going to a restaurant, brasserie, snack bar;;;;Once a week;Several times a month;permanently;permanently;Long Sick Leave
5;;;50 - 55;;Other businesses;1000 - 4999;;;;;;;;;In a commercial premises or agency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;I benefit from support in implementation (training, communication, etc.);I benefit from support in implementation (training, communication, etc.);I benefit from support in implementation (training, communication, etc.);I benefit from support in implementation (training, communication, etc.);I benefit from support in implementation (training, communication, etc.);No not at all;;;;;;;;;;;;Very bad;;;;;;;;;;;;;;;When returning home;;;;Every day or almost;At least once a week;;;
6;;;56 - 70;;Design office and engineering;5000 and more;;;;;;;;;In a vehicle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;They come back too often;They come back too often;They come back too often;They come back too often;They come back too often;TOTAL NO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
