feature;cluster;corr;abs_corr
('Q13- Is the performance of your work taxing on you?-To work in noise_Most of the time',);1;0.116;0.116
('Q15- Indicate whether each of the following sentences suits you-My job is physically tiring_Completetly',);1;0.107;0.107
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Most of the time',);1;0.103;0.103
('Q13- Is the performance of your work taxing on you?-To carry or move heavy loads_Most of the time',);1;0.095;0.095
('Q13- Is the performance of your work taxing on you?-To remain standing for a long time or in an awkward posture_Most of the time',);1;0.094;0.094
('Q13- Is the performance of your work taxing on you?-Working in the cold / in the heat_Most of the time',);1;0.08;0.08
('STATUS_Workers',);2;0.104;0.104
('Q14- During your work, are you in a situation? (Of-working on machinery that could expose you to injury_Yes',);2;0.091;0.091
('Q12- Do you work most often?_In a workshop, a technical room',);2;0.087;0.087
('Q14- During your work, are you in a situation? (Of-breathe toxic products or dust_Yes',);2;0.08;0.08
('Q14- During your work, are you in a situation? (Of-risk a serious fall_Yes',);2;0.067;0.067
('Q14- During your work, are you in a situation? (Of-handle toxic or dangerous products_Yes',);2;0.063;0.063
('In which sector of activity do you work?_Industry',);2;0.042;0.042
('Q13- Is the performance of your work taxing on you?-To work on screen_Rarely',);2;0.032;0.032
('Q37- How do you rate your state of health in general?_AVERAGE',);3;0.147;0.147
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_often',);3;0.132;0.132
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_often',);3;0.103;0.103
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Often',);3;0.102;0.102
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Not very confident',);3;0.101;0.101
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Often',);3;0.1;0.1
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Often',);3;0.099;0.099
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Often',);3;0.092;0.092
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Often',);3;0.083;0.083
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Often',);3;0.041;0.041
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Rather',);4;0.066;0.066
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Not very confident',);4;0.062;0.062
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Not very confident',);4;0.057;0.057
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Not very confident',);4;0.045;0.045
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Not very confident',);4;0.026;0.026
('Q34- In your personal life, would you say:-I feel well surrounded_Rather not',);4;0.024;0.024
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Not very confident',);4;0.019;0.019
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Rather',);4;0.015;0.015
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Rather not',);4;0.012;0.012
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Often',);5;0.04;0.04
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Often',);5;0.028;0.028
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Often',);5;0.014;0.014
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_Unsatisfactory',);6;0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_Unsatisfactory',);6;0.067;0.067
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_Yes, rather',);6;0.033;0.033
('Q17- At work, does it happen to you: (D-e receiving hurtful or aggressive remarks within the company_Very Often',);7;0.117;0.117
('Q15- Indicate whether each of the following sentences suits you-My work is nervously tiring_Completetly',);7;0.096;0.096
('Q17- At work, does it happen to you: (D-being insulted or attacked by the public or customers_Very Often',);7;0.083;0.083
('Q15- Indicate whether each of the following sentences suits you-My job requires working very quickly or very intensely_Completetly',);7;0.075;0.075
('Q17- At work, does it happen to you: (D-have decreased alertness, lack of attention_Very Often',);7;0.045;0.045
('Q23- Do you have difficulty reconciling your work with your other personal or family commitments?-Yes quite_Yes quite',);7;0.045;0.045
('Q15- Indicate whether each of the following sentences suits you-My job requires long periods of concentration_Completetly',);7;0.026;0.026
('Q15- Indicate whether each of the following sentences suits you-At times, I have difficulty managing priorities_Completetly',);7;0.019;0.019
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Not confident at all',);8;0.051;0.051
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Not confident at all',);8;0.044;0.044
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Not confident at all',);8;0.03;0.03
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Not confident at all',);8;0.015;0.015
('Q34- In your personal life, would you say:-I feel well surrounded_Not at all',);8;0.015;0.015
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Not confident at all',);8;0.009;0.009
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_Not at all',);8;0.002;0.002
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the back_Permanently',);9;0.138;0.138
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the neck, shoulder, arm_Permanently',);9;0.11;0.11
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the leg, foot, knee_Permanently',);9;0.098;0.098
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in the head_Permanently',);9;0.055;0.055
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-in other parts of the body_Permanently',);9;0.055;0.055
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_Permanently',);9;0.02;0.02
('Q38- Did you:-A chronic illness (a long-term illness or one that recurs frequently_Yes',);10;0.198;0.198
('Q38- Did you:-Disabilities_Yes',);10;0.141;0.141
('Q37- How do you rate your state of health in general?_Bad',);10;0.138;0.138
('Q62- Do you take sleeping pills, anxiolytics or anti-depressants:_At least once a week',);10;0.122;0.122
('Q34- In your personal life, would you say:-I have personal concerns (emotional life, money, health_Completetly',);10;0.111;0.111
('Q63- Over the past 12 months have you experienced the following difficulties?-A lack of tone_permanently',);10;0.106;0.106
('Q63- Over the past 12 months have you experienced the following difficulties?-Sleep disorders (difficulty falling asleep, waking up at night, waking up early without being able to go back to sleep, etc.)_permanently',);10;0.092;0.092
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Not confident at all',);10;0.069;0.069
('Q37- How do you rate your state of health in general?_Very bad',);10;0.055;0.055
('Q34- In your personal life, would you say:-One of my loved ones (child/parent/spouse) is causing me a lot of worry_Completetly',);10;0.039;0.039
('Q15- Indicate whether each of the following sentences suits you-I feel recognized by my hierarchy_Not at all',);11;0.105;0.105
('Q15- Indicate whether each of the following sentences suits you-My company takes care of the well-being of its employees_Not at all',);11;0.081;0.081
('Q15- Indicate whether each of the following sentences suits you-In the event of a problem, I can count on my supervisor_Not at all',);11;0.076;0.076
('Q15- Indicate whether each of the following sentences suits you-I have the opportunity to develop my professional skills_Not at all',);11;0.075;0.075
('Q15- Indicate whether each of the following sentences suits you-I am satisfied with my work_Not at all',);11;0.074;0.074
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Not at all',);11;0.072;0.072
('Q16- And for each of these sentences?-I would recommend my company to a friend_Not at all',);11;0.065;0.065
('Q15- Indicate whether each of the following sentences suits you-My work allows me to learn new things_Not at all',);11;0.064;0.064
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Not at all',);11;0.064;0.064
('Q15- Indicate whether each of the following sentences suits you-In my job I have the opportunity to make decisions_Not at all',);11;0.06;0.06
('Q16- And for each of these sentences?-I am proud to work in my company_Not at all',);11;0.059;0.059
('Q15- Indicate whether each of the following sentences suits you-Security is a priority for my business_Not at all',);11;0.038;0.038
('Q15- Indicate whether each of the following sentences suits you-I systematically seek to improve the way I work_Not at all',);11;0.0;0.0
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_Unsatisfactory',);12;0.111;0.111
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_Unsatisfactory"",)";12;0.108;0.108
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_Unsatisfactory',);12;0.107;0.107
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_Unsatisfactory',);12;0.102;0.102
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_Unsatisfactory',);12;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_Unsatisfactory',);12;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_Unsatisfactory',);12;0.091;0.091
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_Unsatisfactory',);12;0.088;0.088
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_Unsatisfactory',);12;0.087;0.087
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_Unsatisfactory',);12;0.085;0.085
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_Unsatisfactory',);12;0.083;0.083
('Q15- Indicate whether each of the following sentences suits you-I have a well-suited workstation_Rather not',);12;0.08;0.08
('Q15- Indicate whether each of the following sentences suits you-There is good understanding where I work_Rather not',);12;0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_Unsatisfactory',);12;0.069;0.069
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_Unsatisfactory',);12;0.067;0.067
