feature;cluster;corr;abs_corr
"(""Would you say that over the last 12 months, your company's activity has:_nan"",)";1;0.062;0.062
('Would you say that over the last 12 months, your pace of work has:_nan',);1;0.062;0.062
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_nan',);2;0.1;0.1
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_nan',);2;0.1;0.1
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_nan',);2;0.1;0.1
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_nan',);2;0.1;0.1
('Q16- And for each of these sentences?-I would recommend my company to a friend_nan',);2;0.099;0.099
('Q16- And for each of these sentences?-I am proud to work in my company_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_nan',);2;0.099;0.099
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_nan',);2;0.099;0.099
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_nan',);2;0.09;0.09
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_nan"",)";3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_nan',);3;0.098;0.098
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_nan',);3;0.097;0.097
('Q34- In your personal life, would you say:-If there is a problem I can talk to a loved one_nan',);3;0.097;0.097
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_nan',);3;0.096;0.096
('Q44- Over the last 12 months have you experienced the following difficulties (excluding traumatic accident)? (Wrong-to the eyes_nan',);3;0.096;0.096
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_nan',);3;0.095;0.095
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-recognition at work_Satisfying',);4;-0.157;0.157
"(""Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-'work organization_Satisfying"",)";4;-0.142;0.142
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-the prospects for development_Satisfying',);4;-0.141;0.141
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a relationship with your direct superior_Satisfying',);4;-0.14;0.14
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-e management_Satisfying',);4;-0.14;0.14
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-relationships between services_Satisfying',);4;-0.137;0.137
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a communication and understanding of business strategy_Satisfying',);4;-0.133;0.133
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-atmosphere in your team_Satisfying',);4;-0.128;0.128
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-tools or your workstation_Satisfying',);4;-0.123;0.123
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-clarity of your role in the company�s activity_Satisfying',);4;-0.119;0.119
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-The services provided by the company (cr�che, concierge, gym, etc.)_Satisfying',);4;-0.102;0.102
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-access to professional training_Satisfying',);4;-0.101;0.101
('Q31- When you think about the next 3 years, for each of the following points are you:-Your health_Confident',);5;-0.138;0.138
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-moments of conviviality_Satisfying',);5;-0.129;0.129
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-has mastery of your position (responsibility, means, skills_Satisfying',);5;-0.114;0.114
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-working hours_Satisfying',);5;-0.112;0.112
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a balance between private life and professional life_Satisfying',);5;-0.111;0.111
('Q31- When you think about the next 3 years, for each of the following points are you:-The financial situation of your household_Confident',);5;-0.103;0.103
('Q31- When you think about the next 3 years, for each of the following points are you:-Your professional situation_Confident',);5;-0.101;0.101
('Q16- And for each of these sentences?-I would recommend my company to a friend_Rather',);5;-0.099;0.099
('Q16- And for each of these sentences?-I am proud to work in my company_Rather',);5;-0.086;0.086
('Q31- When you think about the next 3 years, for each of the following points are you:-The future of your child(ren)_Confident',);5;-0.084;0.084
('Q31- When you think about the next 3 years, for each of the following points are you:-Your emotional life_Confident',);5;-0.072;0.072
('Q19- For each of the following points indicate whether, in your work, you find it satisfactory or unsatisfactory: (L-a social protection (mutual health, insurance) offered by your company_Satisfying',);5;-0.069;0.069
('Q31- When you think about the next 3 years, for each of the following points are you:-Your housing conditions_Confident',);5;-0.064;0.064
('STATUS_Frames',);6;-0.09;0.09
('Q13- Is the performance of your work taxing on you?-To perform repetitive gestures_Never',);6;-0.078;0.078
('Q13- Is the performance of your work taxing on you?-To work in noise_Never',);6;-0.076;0.076
('Q10- Do you have shift work (work organized in successive teams, which take turns at the same workstations) with alternating hours?_No',);6;-0.075;0.075
('Q12- Do you work most often?_In an office alone or in pairs',);6;-0.071;0.071
